descripcion,resolucion,procedimiento,ley,palabras_clave
Trabajador denuncia que no se le reconoce tiempo de refrigerio,Aplicar sanción al empleador y reestructurar jornada,- Recolectar evidencia. - Verificar contrato o registros. - Aplicar medidas legales.,DS 003-97-TR (Jornada laboral),"refrigerio, descanso, jornada, derechos"
Colaborador informa que su jefe lo degrada públicamente,Investigar el caso y aplicar medidas correctivas,- Recolectar evidencia. - Verificar contrato o registros. - Aplicar medidas legales.,Ley 27942 (Prevención del hostigamiento laboral),"acoso, degradación, público, jefe"
Obrero denuncia que sus funciones implican riesgo sin seguro,Regularizar situación de salud y seguridad,- Recolectar evidencia. - Verificar contrato o registros. - Aplicar medidas legales.,Ley 29783 (Seguridad y Salud en el Trabajo),"riesgo, funciones, seguridad, seguro"
Profesional reporta no ser considerado en bonos pese a metas cumplidas,Revisar documentación y compensar al trabajador,- Recolectar evidencia. - Verificar contrato o registros. - Aplicar medidas legales.,DS 003-97-TR (Normas sobre despido y derechos laborales),"bono, metas, exclusión, pago"
Empleado denuncia que la empresa no entrega constancia de trabajo al momento del cese,Exigir entrega inmediata del documento legal,- Revisar fecha de cese. - Solicitar documento por escrito. - Denunciar a SUNAFIL si persiste la negativa.,Artículo 47 del DS 003-97-TR (Derecho a certificación laboral),"constancia, cese, documento, derechos"
Trabajador reporta que le exigen realizar labores de limpieza no pactadas en su contrato,Restringir funciones a lo establecido en el contrato,- Verificar descripción de puesto. - Notificar a RRHH. - Reasignar tareas no correspondientes.,Artículo 23 del DS 003-97-TR (Delimitación de funciones),"funciones, limpieza, contrato, abuso"
Conflicto por cambio de turno sin previo aviso de 72 horas,Ajustar horario respetando plazo legal,- Notificar cambios con anticipación. - Compensar con días libres si hubo perjuicio. - Fiscalizar cumplimiento.,Artículo 10 de la Ley 28806 (Jornada laboral),"turno, cambio, aviso, horario"
Denuncia por falta de pago de bonificación por riesgo minero,Verificar exposición a riesgo y liquidar pago,- Evaluar zona de trabajo. - Calcular bonificación. - Denunciar omisión a SUNAT.,Artículo 10 del DS 005-2012-TR (Trabajo en minería),"bonificación, riesgo, minero, salario"
Empleado acusa manipulación de su firma en renuncia forzada,Anular documento y reintegrar al trabajador,- Cotejar firma con registros. - Investigar coerción. - Sancionar a responsables.,Artículo 168-B del Código Penal (Falsedad documental),"renuncia, firma, fraude, coerción"
Trabajador con discapacidad deniega falta de intérprete de señas en reuniones,Contratar intérprete certificado,- Evaluar necesidades. - Incluir en presupuesto. - Garantizar accesibilidad.,Artículo 29 de la Ley 29973 (Inclusión laboral),"discapacidad, señas, inclusión, comunicación"
Conflicto por descontar días de vacaciones por permisos médicos,Restituir días descontados ilegalmente,- Verificar certificados médicos. - Ajustar registro vacacional. - Capacitar a RRHH.,Artículo 15 de la Ley 29783 (Descanso vacacional),"vacaciones, médico, descuento, derechos"
Denuncia por exigencia de trabajar en días de asueto nacional sin pago extra,Garantizar pago doble o día compensatorio,- Revisar calendario laboral. - Liquidar recargos. - Sancionar incumplimiento.,Artículo 9 de la Ley 713 (Feriados nacionales),"feriado, asueto, pago, obligación"
Empleado reporta que su jefe lo obliga a realizar recados personales en horario laboral,Prohibir uso de tiempo laboral para fines privados,- Investigar patrones de abuso. - Establecer políticas claras. - Sancionar al superior.,Artículo 10 de la Ley 28806 (Jornada laboral),"recados, personal, abuso, horario"
Trabajador denuncia que le niegan copia de su expediente laboral,Entregar copia completa en 24 horas,- Revisar archivos. - Proporcionar documentos. - Sancionar negativas injustificadas.,Artículo 42 del DS 003-97-TR (Derecho a documentación),"expediente, copia, transparencia, información"
Conflicto por asignación de zona de trabajo sin baños cercanos,Garantizar acceso a sanitarios dentro de 200 metros,- Evaluar infraestructura. - Instalar baños portátiles si es necesario. - Fiscalizar condiciones.,Artículo 21 de la Ley 30036 (Derechos básicos),"baños, higiene, condiciones, salud"
Denuncia por cobro por reposición de uniforme por desgaste normal,Absolver costos y proveer equipamiento gratuito,- Verificar estado de uniformes. - Reembolsar pagos. - Ajustar políticas internas.,Artículo 12 de la Ley 27912 (Gratuidad de implementos),"uniforme, cobro, reposición, ilegal"
Empleado reporta que su empresa no registra horas extras en planilla,Auditar registros y pagar retroactivos,- Revisar controles de asistencia. - Liquidar adeudos. - Denunciar a SUNAT.,Artículo 10 de la Ley 28806 (Horas extras),"horas extras, planilla, no registrado, pago"
Trabajador con cáncer denuncia despido por ausencias médicas,Reintegrar y adaptar puesto según condición,- Validar certificados médicos. - Aplicar protocolo de reinserción. - Multar a la empresa.,Artículo 5 de la Ley 26790 (Enfermedades graves),"cáncer, despido, enfermedad, discriminación"
Conflicto por negativa a licencia por paternidad,Otorgar licencia de 10 días pagados,- Verificar fecha de nacimiento. - Ajustar nómina. - Sancionar incumplimiento.,Artículo 1 de la Ley 29409 (Licencia por paternidad),"paternidad, licencia, permiso, derechos"
Denuncia por asignación de herramientas defectuosas que causaron accidente,Reparar o reemplazar equipos e indemnizar,- Investigar accidente. - Cubrir gastos médicos. - Sancionar negligencia.,Artículo 38 de la Ley 29783 (Seguridad en herramientas),"herramientas, accidente, defectuoso, indemnización"
Empleado reporta que le prohíben usar protector solar en área exterior,Permitir EPP contra radiación UV,- Evaluar exposición solar. - Proveer bloqueadores. - Capacitar en riesgos.,Norma OSINERGMIN 050-2013 (Protección solar),"protector solar, radiación, salud, piel"
Trabajador denuncia que le niegan acceso a su historial de evaluación de desempeño,Entregar copia firmada del documento,- Revisar archivos de RRHH. - Garantizar transparencia. - Permitir apelaciones.,Artículo 22 del DS 003-97-TR (Derecho a información),"evaluación, desempeño, historial, transparencia"
Conflicto por falta de pago de viáticos en viajes laborales,Liquidar montos adeudados con intereses,- Verificar órdenes de viaje. - Ajustar política de viáticos. - Sancionar retrasos.,Artículo 51 del DS 003-97-TR (Remuneraciones y beneficios),"viáticos, viaje, gastos, no pagado"
"Denuncia por despido por embarazo encubierto como reestructuración""""",Reintegrar y pagar salarios caídos,- Auditar motivos reales del despido. - Multar a la empresa. - Garantizar estabilidad.,Artículo 6 de la Ley 27240 (Protección por embarazo),"embarazo, despido, discriminación, reestructuración"
Empleado reporta que le exigen trabajar bajo lluvia sin protección,Suspender labores hasta garantizar condiciones seguras,- Evaluar riesgo climático. - Proveer capas impermeables. - Reubicar si es necesario.,Artículo 84 del Reglamento de Seguridad y Salud (Riesgos ambientales),"lluvia, protección, clima, seguridad"
Trabajador denuncia que su empresa no emite boletas electrónicas,Exigir emisión inmediata y regularizar situación,- Auditar registros tributarios. - Sancionar incumplimiento. - Denunciar a SUNAT.,Artículo 4 de la Ley 29667 (Boletas electrónicas),"boleta, electrónica, SUNAT, obligación"
Conflicto por negativa a reconocer antigüedad en años de servicio,Actualizar registros y pagar beneficios,- Verificar contratos antiguos. - Liquidar prima por antigüedad. - Corregir historial.,Artículo 18 del DS 003-97-TR (Antigüedad laboral),"antigüedad, años de servicio, beneficios, reconocimiento"
Denuncia por asignación de tareas peligrosas a personal no capacitado,Suspender actividades y capacitar primero,- Evaluar riesgos. - Certificar competencias. - Sancionar asignaciones irresponsables.,Artículo 29 de la Ley 29783 (Capacitación obligatoria),"riesgo, tareas, no capacitado, peligro"
"Empleado reporta que le retienen salario por errores contables""""",Pagar salario completo y auditar nómina,- Revisar desglose de pagos. - Corregir errores. - Denunciar retención ilegal.,Artículo 51 del DS 003-97-TR (Prohibición de retenciones),"salario, retención, error, ilegal"
Trabajador denuncia que le niegan copia de su examen médico ocupacional,Entregar documento en 24 horas,- Revisar archivos médicos. - Garantizar acceso. - Sancionar negativas.,Artículo 25 de la Ley 29783 (Derecho a información médica),"examen médico, ocupacional, copia, salud"
Conflicto por falta de pago de gratificación por cierre de empresa,Liquidar beneficio proporcional,- Verificar fecha de cese. - Calcular monto. - Denunciar incumplimiento.,Artículo 45 del DS 003-97-TR (Gratificaciones),"gratificación, cierre, pago, beneficio"
Denuncia por despido durante licencia por accidente de trabajo,Reintegrar y pagar salarios caídos,- Validar certificado de ESSALUD. - Multar a la empresa. - Garantizar estabilidad.,Artículo 34 del DS 003-97-TR (Despido nulo),"despido, licencia, accidente, ESSALUD"
Empleado reporta que le exigen trabajar sin mascarilla en área con químicos,Proveer EPP adecuado y sancionar negligencia,- Evaluar riesgos. - Entregar equipos. - Capacitar en uso.,Artículo 29 de la Ley 29783 (Protección respiratoria),"mascarilla, químicos, riesgo, salud"
Trabajador denuncia que le pagan menos que a colegas en mismo puesto,Igualar salario y pagar diferencias,- Auditar escalas salariales. - Ajustar remuneración. - Sancionar discriminación.,Artículo 26 de la Constitución (Igualdad de remuneración),"salario, desigualdad, discriminación, equidad"
Conflicto por negativa a reconocer título técnico para categoría laboral,Ajustar categoría y pagar diferencias,- Verificar certificados. - Reclasificar puesto. - Liquidar retroactivos.,Artículo 24 de la Ley 29944 (Reconocimiento de estudios),"título técnico, categoría, salario, derechos"
Denuncia por falta de pago de dominicales por trabajar fines de semana,Liquidar recargos correspondientes,- Verificar calendario laboral. - Calcular pagos omitidos. - Ajustar nómina.,Artículo 7 de la Ley 27269 (Descanso dominical),"dominical, fin de semana, pago, obligación"
Empleado reporta que le cobran por usar el comedor de la empresa,Eliminar cobros y reembolsar montos,- Investigar política interna. - Devolver pagos. - Garantizar gratuidad.,Artículo 21 de la Ley 30036 (Alimentación laboral),"comedor, cobro, alimentación, derecho"
Trabajador denuncia que le exigen pagar por capacitación obligatoria,Reembolsar montos y prohibir práctica,- Verificar pagos ilegales. - Devolver dinero. - Capacitar sin costo.,Artículo 22 del DS 003-97-TR (Capacitación gratuita),"capacitación, pago, ilegal, reembolso"
Conflicto por negativa a días libres para donar médula ósea,Otorgar permiso pagado según ley,- Validar citación médica. - Ajustar calendario. - Promover donación voluntaria.,Artículo 3 de la Ley 26910 (Donación de médula),"médula, donación, permiso, salud"
Denuncia por despido por participar en huelga legal,Reintegrar y pagar salarios caídos,- Verificar fecha de huelga. - Anular despido. - Sancionar represalias.,Artículo 28 de la Constitución (Derecho a huelga),"huelga, despido, sindicato, represalia"
Empleado reporta que le niegan permiso para exámenes prenatales,Otorgar permisos pagados según ley,- Validar citas médicas. - Ajustar horarios. - Sancionar negativas.,Artículo 6 de la Ley 27240 (Protección a la maternidad),"prenatal, permiso, embarazo, salud"
Trabajador denuncia que le asignan metas imposibles para forzar renuncia,Ajustar metas y prohibir acoso indirecto,- Evaluar indicadores. - Mediar conflicto. - Sancionar presión laboral.,Artículo 22 del DS 003-97-TR (Hostigamiento laboral),"metas, renuncia, acoso, presión"
Conflicto por falta de pago de bono por productividad pactado,Liquidar monto adeudado con intereses,- Revisar acuerdos escritos. - Pagar diferencia. - Denunciar incumplimiento.,Artículo 51 del DS 003-97-TR (Pago de beneficios),"bono, productividad, incumplimiento, pago"
Denuncia por despido por denunciar acoso sexual,Reintegrar y proteger al trabajador,- Investigar represalia. - Sancionar a responsables. - Garantizar confidencialidad.,Artículo 15 de la Ley 27942 (Protección a denunciantes),"acoso sexual, despido, represalia, denuncia"
Empleado denuncia obligación de firmar inventario sin verificación física,Permitir revisión previa de bienes antes de firmar,- Establecer protocolo de inventario. - Supervisar proceso. - Sancionar presiones indebidas.,Artículo 168-B del Código Penal (Falsedad documental),"inventario, firma, coerción, verificación"
Trabajador con alergia a químicos denuncia falta de protección,Proveer EPP especializado y rotación de funciones,- Evaluar informe médico. - Adaptar puesto. - Monitorear salud.,Artículo 29 de la Ley 29783 (Riesgos químicos),"alergia, químicos, protección, salud"
Conflicto por prohibición de ingreso con medicamentos recetados,Permitir ingreso con receta médica,- Revisar políticas. - Capacitar seguridad. - Habilitar locker médico.,Artículo 9 de la Ley 29409 (Derecho a salud),"medicamentos, prohibición, receta, discriminación"
Denuncia por asignación de vehículo sin seguro obligatorio,Suspender uso hasta regularizar póliza,- Verificar SOAT. - Multar a responsable. - Implementar auditorías.,Artículo 112 del Reglamento de Tránsito,"vehículo, seguro, SOAT, riesgo"
Empleado reporta exigencia de aportar dinero para regalo de jefe,Prohibir colectas obligatorias y reembolsar,- Investigar práctica. - Devolver fondos. - Sancionar presión jerárquica.,Artículo 12 de la Ley 27942 (Acoso laboral),"colecta, regalo, presión, abuso"
Trabajador con movilidad reducida denuncia falta de rampas,Instalar accesos adaptados en 48 horas,- Evaluar infraestructura. - Priorizar obras. - Capacitar en inclusión.,Ley 29973 (Accesibilidad para discapacitados),"rampas, discapacidad, inclusión, barreras"
Conflicto por uso de perfume en área con sensibilidad química,Establecer política de fragancias neutras,- Medir sensibilidades. - Comunicar restricciones. - Ajustar ventilación.,Artículo 29 de la Ley 29783 (Salud ocupacional),"perfume, alergia, químicos, convivencia"
Denuncia por retención de certificados académicos para contratación,Devolver documentos y sancionar práctica,- Revisar procesos de RRHH. - Restituir originales. - Capacitar en derechos.,Artículo 15 de la Ley 30001 (Documentación personal),"certificados, retención, contratación, ilegal"
Empleado denuncia robo de ideas en sugerencias de mejora,Reconocer autoría y compensar creatividad,- Implementar registro de ideas. - Establecer recompensas. - Proteger propiedad intelectual.,Artículo 1362 del Código Civil (Derechos morales),"ideas, plagio, creatividad, reconocimiento"
Trabajador reporta exigencia de compartir contraseñas de correo corporativo,Prohibir prácticas que violen privacidad digital,- Auditar políticas TI. - Capacitar en ciberseguridad. - Sancionar violaciones.,Artículo 2 de la Constitución (Privacidad digital),"contraseñas, correo, privacidad, TI"
Conflicto por negativa a permiso para donación de sangre,Otorgar día pagado según ley,- Validar solicitud. - Ajustar calendario. - Promover voluntariado.,Artículo 5 de la Ley 26454 (Donación voluntaria),"donación, sangre, permiso, responsabilidad social"
Denuncia por falta de protocolo para ataques de pánico,Implementar guía de primeros auxilios psicológicos,- Diseñar manual. - Capacitar brigadistas. - Habilitar sala de calma.,Artículo 29 de la Ley 29783 (Salud mental),"pánico, protocolo, emergencia, psicológico"
Empleado denuncia asignación de nicknames denigrantes en sistemas internos,Eliminar apodos y sancionar responsables,- Auditar bases de datos. - Promover cultura respetuosa. - Restablecer identidad formal.,Artículo 15 de la Ley 27942 (Hostigamiento laboral),"apodos, denigrante, identidad, respeto"
Trabajador con dieta especial denuncia falta de opciones en comedor,Ofrecer menús adaptados a necesidades médicas,- Evaluar requerimientos. - Coordinar con nutricionista. - Ajustar servicio.,Artículo 21 de la Ley 30036 (Alimentación laboral),"comedor, dieta, salud, inclusión"
Conflicto por prohibición de lentes oscuros en área con luz intensa,Permitir uso con prescripción oftalmológica,- Validar informe médico. - Adaptar políticas. - Proveer protección adecuada.,Artículo 29 de la Ley 29783 (Protección visual),"lentes, luz, ojos, salud"
Denuncia por falsificación de firmas en registros de producción,Investigar y aplicar sanciones por fraude,- Cotejar firmas. - Auditar procesos. - Denunciar ante fiscalía.,Artículo 190 del Código Penal (Falsificación),"firma, fraude, producción, ética"
Empleado reporta exigencia de trabajar con equipos defectuosos,Reemplazar herramientas y auditar mantenimiento,- Inspeccionar equipos. - Priorizar reparaciones. - Establecer checklist diario.,Artículo 38 de la Ley 29783 (Seguridad en herramientas),"equipos, defectuoso, riesgo, mantenimiento"
Trabajador denuncia difusión de memes ofensivos en grupos laborales,Eliminar contenido y capacitar en uso ético de redes,- Investigar origen. - Sancionar responsables. - Establecer política digital.,Artículo 15 de la Ley 27942 (Acoso virtual),"memes, ofensivo, redes, convivencia"
Conflicto por negativa a días libres para terapia psicológica,Garantizar permisos para tratamientos de salud mental,- Validar certificado. - Ajustar horarios. - Promover bienestar emocional.,Artículo 25 de la Ley 29783 (Salud mental laboral),"terapia, psicológico, permiso, salud"
Denuncia por asignación de oficina sin acceso a luz natural,Reubicar o implementar iluminación biológica,- Evaluar espacios. - Priorizar reasignación. - Instalar sistemas circadianos.,Norma OSINERGMIN 050-2013 (Iluminación),"luz natural, oficina, salud, bienestar"
Empleado denuncia manipulación de reloj control para descontar minutos,Auditar sistema y restituir tiempo robado,- Revisar registros digitales. - Compensar horas. - Sancionar alteraciones.,Artículo 37 de la Ley 27444 (Alteración de registros),"reloj, control, tiempo, fraude"
Trabajador reporta exigencia de usar ropa de marca específica,Permitir vestimenta neutra según función,- Revisar políticas. - Eliminar requisitos de marca. - Proveer uniformes estándar.,Artículo 29 de la Ley 29783 (Vestimenta laboral),"ropa, marca, uniforme, discriminación"
Conflicto por falta de traductor en reuniones con personal extranjero,Contratar intérprete o usar tecnología de traducción,- Evaluar necesidades. - Implementar soluciones. - Capacitar equipos.,Artículo 29 de la Ley 29973 (Inclusión lingüística),"traductor, idioma, comunicación, inclusión"
Denuncia por cobro por uso de estacionamiento de empleados,Eliminar tarifas y reembolsar pagos,- Auditar políticas. - Devolver montos. - Garantizar acceso libre.,Artículo 7 de la Ley 29981 (Beneficios laborales),"estacionamiento, cobro, reembolso, derecho"
Empleado denuncia ocultamiento de informes de evaluación de riesgos,Publicar documentos y capacitar en prevención,- Revisar archivos. - Divulgar resultados. - Implementar mejoras.,Artículo 20 de la Ley 29783 (Transparencia en SST),"riesgo, informe, ocultamiento, seguridad"
Trabajador con VIH denuncia discriminación en asignación de viajes,Sancionar actos discriminatorios y capacitar,- Investigar patrones. - Reasignar oportunidades. - Sensibilizar equipos.,Artículo 3 de la Ley 29419 (No discriminación por VIH),"VIH, discriminación, viajes, salud"
Conflicto por prohibición de ingreso con mochilas al área de trabajo,Permitir ingreso con revisión no invasiva,- Implementar scanners. - Garantizar seguridad sin vulnerar derechos. - Comunicar protocolos.,Artículo 2 de la Constitución (Intimidad personal),"mochilas, revisión, seguridad, privacidad"
Denuncia por falta de sillas para visitas en recepción,Proveer mobiliario adecuado para áreas de espera,- Evaluar aforo. - Adquirir asientos. - Mejorar experiencia de visitantes.,Artículo 21 de la Ley 30036 (Derechos básicos),"visitas, recepción, mobiliario, atención"
Empleado reporta exigencia de descargar apps personales para trabajo,Proveer herramientas corporativas y prohibir uso de apps privadas,- Auditar dispositivos. - Implementar soluciones empresariales. - Respetar propiedad digital.,Artículo 2 de la Constitución (Privacidad tecnológica),"apps, celular, privacidad, herramientas"
Trabajador denuncia asignación de metas basadas en género,Establecer objetivos neutros y sancionar sesgo,- Auditar criterios. - Capacitar en equidad. - Corregir sistemas de evaluación.,Artículo 26 de la Constitución (Igualdad de género),"metas, género, discriminación, equidad"
Conflicto por falta de agua caliente en baños durante invierno,Instalar calefones o sistemas de agua temperada,- Evaluar infraestructura. - Priorizar zonas frías. - Garantizar suministro.,Norma OSINERGMIN 050-2013 (Higiene laboral),"agua caliente, baño, invierno, condiciones"
Denuncia por uso de cámaras ocultas en vestuarios,Retirar dispositivos y sancionar violación de privacidad,- Inspeccionar áreas. - Multar a responsables. - Reforzar ética corporativa.,Artículo 2 de la Constitución (Intimidad),"cámaras, vestuario, privacidad, vigilancia"
Empleado reporta exigencia de presentar facturas médicas para justificar ausencias,Aceptar certificados médicos sin detalles diagnósticos,- Revisar políticas. - Respetar confidencialidad. - Capacitar supervisores.,Artículo 7 de la Ley 29733 (Protección de datos de salud),"facturas, médico, privacidad, ausencia"
Trabajador denuncia que le exigen pagar daños a equipo por desgaste normal,Absolver al empleado y cubrir costos de mantenimiento,- Evaluar estado real del equipo. - Ajustar políticas de responsabilidad. - Capacitar en uso adecuado.,Artículo 38 de la Ley 29783 (Herramientas de trabajo),"equipo, daños, desgaste, responsabilidad"
Empleado reporta que le niegan permiso para votar en elecciones nacionales,Otorgar día libre pagado según ley,- Verificar fecha electoral. - Ajustar horarios. - Sancionar obstrucción al voto.,Artículo 5 de la Ley 26859 (Derecho al voto),"voto, elecciones, permiso, derechos"
Conflicto por asignación de turnos que impiden cuidado de hijo con discapacidad,Ajustar horario según necesidades familiares,- Validar certificado médico. - Implementar teletrabajo si aplica. - Priorizar flexibilidad.,Artículo 16 de la Ley 29973 (Inclusión familiar),"discapacidad, hijo, horario, cuidado"
Denuncia por falta de pago de horas nocturnas en zona altoandina,Liquidar bonificación especial correspondiente,- Verificar altitud de trabajo. - Calcular recargos. - Ajustar nómina.,Artículo 10 de la Ley 27735 (Trabajo nocturno en altura),"altura, nocturno, bonificación, salario"
Empleado acusa sustitución fraudulenta de su firma en actas de reunión,Auditar documentos y sancionar falsificación,- Cotejar firmas anteriores. - Denunciar ante fiscalía. - Implementar actas digitales seguras.,Artículo 190 del Código Penal (Falsificación),"firma, acta, fraude, reunión"
Trabajador con epilepsia denuncia burlas por su condición,Sancionar acoso y capacitar en inclusión,- Investigar testimonios. - Aplicar medidas disciplinarias. - Realizar taller de sensibilización.,Artículo 15 de la Ley 27942 (Acoso laboral),"epilepsia, burlas, discriminación, salud"
Conflicto por negativa a días libres para tratamiento de fertilidad,Otorgar permisos pagados según recomendación médica,- Validar citas clínicas. - Ajustar política de permisos. - Proteger privacidad.,Artículo 6 de la Ley 26842 (Salud reproductiva),"fertilidad, tratamiento, permiso, salud"
Denuncia por asignación de oficina con humedad y hongos,Reubicar o realizar reparaciones inmediatas,- Evaluar condiciones ambientales. - Mitigar riesgos a la salud. - Monitorear área.,Artículo 29 de la Ley 29783 (Ambiente saludable),"humedad, hongos, oficina, salud"
Empleado reporta que le cobran por errores en producción no comprobados,Eliminar descuentos ilegales y reembolsar,- Investigar supuestos errores. - Verificar registros. - Ajustar políticas salariales.,Artículo 51 del DS 003-97-TR (Prohibición de descuentos),"descuento, error, producción, salario"
Trabajador denuncia que le prohíben usar lentes de sol en exterior con alta radiación,Permitir EPP ocular con prescripción médica,- Evaluar exposición UV. - Proveer lentes certificados. - Capacitar en riesgos visuales.,Norma OSINERGMIN 050-2013 (Protección ocular),"lentes, sol, radiación, salud"
"Conflicto por falta de pago de bono por trabajo en altura superior a 3,000 msnm",Liquidar bonificación de altura omitida,- Verificar altitud oficial. - Calcular monto adeudado. - Ajustar nómina.,Artículo 10 del DS 005-2012-TR (Trabajo en altura),"altura, bono, montaña, salario"
Denuncia por despido tras denunciar condiciones insalubres,Reintegrar y proteger al denunciante,- Investigar represalia. - Multar a la empresa. - Garantizar confidencialidad.,Artículo 29 de la Ley 29783 (Protección a denunciantes),"despido, denuncia, represalia, salud"
Empleado reporta que le exigen trabajar con maquinaria sin certificado de seguridad,Suspender uso hasta regularizar equipos,- Verificar certificaciones. - Reparar o reemplazar. - Sancionar negligencia.,Artículo 38 de la Ley 29783 (Seguridad de maquinaria),"maquinaria, certificado, riesgo, seguridad"
Trabajador denuncia que le niegan copia de su examen de audiometría,Entregar documento en 24 horas,- Revisar archivos médicos. - Garantizar acceso. - Sancionar negativas.,Artículo 25 de la Ley 29783 (Derecho a información médica),"audiometría, examen, copia, salud"
Conflicto por asignación de zona con niveles de ruido sobre 85 decibeles sin protección,Proveer protectores auditivos y rotación,- Medir niveles de ruido. - Entregar EPP adecuado. - Reducir exposición.,Norma OSINERGMIN 050-2013 (Protección auditiva),"ruido, decibeles, protección, salud"
Denuncia por cobro por uso de estacionamiento para personas con discapacidad,Eliminar tarifa y sancionar práctica,- Verificar placa de discapacidad. - Reembolsar pagos. - Capacitar a seguridad.,Artículo 7 de la Ley 29981 (Accesibilidad),"estacionamiento, discapacidad, cobro, discriminación"
Empleado reporta que le asignan metas basadas en edad,Establecer criterios objetivos y sancionar,- Auditar sistema de evaluación. - Eliminar sesgos. - Capacitar en equidad.,Artículo 26 de la Constitución (No discriminación),"metas, edad, discriminación, equidad"
Trabajador denuncia que le retrasan pago por trabajar en feriado religioso,Liquidar recargo con intereses,- Verificar fecha religiosa. - Ajustar nómina. - Respetar creencias.,Artículo 2 de la Ley 29635 (Libertad religiosa),"feriado, religión, pago, discriminación"
Conflicto por negativa a reconocer enfermedad profesional por exposición a químicos,Registrar caso en ESSALUD y adaptar puesto,- Validar diagnóstico médico. - Reportar a autoridad. - Mitigar exposición.,Artículo 5 de la Ley 26790 (Enfermedades profesionales),"químicos, enfermedad, reconocimiento, salud"
Denuncia por falta de protocolo para violencia doméstica que afecta desempeño,Implementar política de apoyo a víctimas,- Diseñar protocolo. - Capacitar RRHH. - Ofrecer flexibilidad.,Artículo 3 de la Ley 30364 (Violencia familiar),"violencia, doméstica, protocolo, apoyo"
Empleado reporta que le exigen trabajar con software pirata,Regularizar licencias o migrar a alternativas legales,- Auditoría de software. - Adquirir licencias. - Capacitar en legalidad.,Artículo 183 del Código Penal (Piratería),"software, pirata, legal, riesgo"
Trabajador denuncia que le niegan días para acompañar a hijo en cirugía,Otorgar permiso pagado según ley,- Validar documentación médica. - Ajustar política familiar. - Sancionar negativas.,Artículo 3 de la Ley 29409 (Permisos familiares),"hijo, cirugía, permiso, familia"
Conflicto por falta de pago de bono por trabajo en turno rotativo,Liquidar monto adeudado con intereses,- Verificar sistema de turnos. - Calcular beneficio. - Ajustar nómina.,Artículo 10 de la Ley 27735 (Turnos rotativos),"turno, rotativo, bono, salario"
Denuncia por despido durante licencia por enfermedad grave,Reintegrar y pagar salarios caídos,- Validar certificado médico. - Anular despido. - Multar a la empresa.,Artículo 34 del DS 003-97-TR (Estabilidad laboral),"despido, licencia, enfermedad, grave"
Empleado reporta que le exigen usar ropa ajustada en clima tropical,Adaptar código de vestimenta a condiciones,- Evaluar temperatura ambiente. - Modificar política. - Proveer uniformes frescos.,Artículo 29 de la Ley 29783 (Bienestar térmico),"ropa, clima, calor, salud"
Trabajador denuncia que le pagan menos por ser extranjero,Igualar salario y pagar diferencias,- Auditar escalas salariales. - Sancionar discriminación. - Ajustar nómina.,Artículo 26 de la Constitución (Igualdad remunerativa),"extranjero, salario, discriminación, equidad"
Conflicto por negativa a días libres para tratamiento de VIH,Otorgar permisos pagados con confidencialidad,- Validar citas médicas. - Proteger privacidad. - Sancionar negativas.,Artículo 3 de la Ley 29419 (No discriminación por VIH),"VIH, tratamiento, permiso, salud"
Denuncia por falta de pago de bono por trabajo en zona de conflicto armado,Liquidar beneficio omitido con intereses,- Verificar ubicación geográfica. - Calcular monto. - Denunciar omisión.,Artículo 10 del DS 005-2012-TR (Zonas de riesgo),"conflicto, bono, riesgo, salario"
Empleado reporta que le niegan acceso a agua purificada en zona desértica,Instalar dispensadores con filtros,- Evaluar calidad del agua. - Proveer suministro seguro. - Fiscalizar mensualmente.,Artículo 29 de la Ley 29783 (Agua potable),"agua, desierto, salud, condiciones"
Trabajador denuncia que le cobran por usar baño químico en obra,Eliminar cobros y reembolsar montos,- Investigar práctica. - Garantizar gratuidad. - Sancionar abuso.,Artículo 21 de la Ley 30036 (Derechos básicos),"baño, cobro, obra, ilegal"
Conflicto por asignación de tareas sin considerar alergia al látex,Reasignar funciones y proveer EPP alternativo,- Evaluar informe médico. - Adaptar herramientas. - Monitorear salud.,Artículo 29 de la Ley 29783 (Alergias laborales),"látex, alergia, salud, protección"
Denuncia por despido tras solicitar reducción de jornada por depresión,Reintegrar y ajustar horario temporalmente,- Validar diagnóstico médico. - Implementar adaptaciones. - Sancionar represalia.,Artículo 29 de la Ley 29783 (Salud mental),"depresión, despido, horario, salud"
Empleado reporta que le exigen trabajar en área con amianto sin protección,Suspender labores hasta mitigar riesgo,- Evaluar exposición. - Proveer trajes especiales. - Denunciar a SUNAFIL.,Norma OSINERGMIN 050-2013 (Manejo de amianto),"amianto, cáncer, protección, riesgo"
Trabajador denuncia que le niegan permiso para adopción,Otorgar licencia pagada según ley,- Verificar resolución de adopción. - Ajustar políticas. - Sancionar negativas.,Artículo 7 de la Ley 26981 (Licencia por adopción),"adopción, permiso, familia, derechos"
Conflicto por falta de pago de bono por trabajo en plataforma petrolera,Liquidar beneficio omitido con intereses,- Verificar ubicación offshore. - Calcular monto. - Ajustar nómina.,Artículo 10 del DS 005-2012-TR (Trabajo en plataformas),"petrolera, bono, riesgo, salario"
Denuncia por asignación de vehículo sin mantenimiento preventivo,Realizar reparaciones y establecer cronograma,- Inspeccionar unidad. - Reparar fallas. - Implementar mantenimiento periódico.,Artículo 38 de la Ley 29783 (Seguridad vehicular),"vehículo, mantenimiento, riesgo, seguridad"
